SIHcode,City name,IBGE code,,,,
150795,TAILANDIA,1507953,,,,
150796,TERRA ALTA,1507961,,,,
150797,TERRA SANTA,1507979,,,,
150800,TOME-ACU,1508001,,,,
150803,TRACUATEUA,1508035,,,,
150805,TRAIRAO,1508050,,,,
150808,TUCUMA,1508084,,,,
150810,TUCURUI,1508100,,,,
150812,ULIANOPOLIS,1508126,,,,
150815,URUARA,1508159,,,,
150820,VIGIA,1508209,,,,
150830,VISEU,1508308,,,,
150835,VITORIA DO XINGU,1508357,,,,
150840,XINGUARA,1508407,,,,
160005,SERRA DO NAVIO,1600055,,,,
160010,AMAPA,1600105,,,,
160015,PEDRA BRANCA DO AMAPARI,1600154,,,,
160020,CALCOENE,1600204,,,,
160021,CUTIAS,1600212,,,,
160023,FERREIRA GOMES,1600238,,,,
160025,ITAUBAL,1600253,,,,
160027,LARANJAL DO JARI,1600279,,,,
160030,MACAPA,1600303,,,,
160040,MAZAGAO,1600402,,,,
160050,OIAPOQUE,1600501,,,,
160053,PORTO GRANDE,1600535,,,,
160055,PRACUUBA,1600550,,,,
160060,SANTANA,1600600,,,,
160070,TARTARUGALZINHO,1600709,,,,
160080,VITORIA DO JARI,1600808,,,,
170025,ABREULANDIA,1700251,,,,
170030,AGUIARNOPOLIS,1700301,,,,
170035,ALIANCA DO TOCANTINS,1700350,,,,
170040,ALMAS,1700400,,,,
170070,ALVORADA,4300604,,,,
170100,ANANAS,1701002,,,,
170105,ANGICO,1701051,,,,
170110,APARECIDA DO RIO NEGRO,1701101,,,,
170130,ARAGOMINAS,1701309,,,,
170190,ARAGUACEMA,1701903,,,,
170200,ARAGUACU,1702000,,,,
170210,ARAGUAINA,1702109,,,,
170215,ARAGUANA,2100873,,,,
170220,ARAGUATINS,1702208,,,,
170230,ARAPOEMA,1702307,,,,
170240,ARRAIAS,1702406,,,,
170255,AUGUSTINOPOLIS,1702554,,,,
170270,AURORA DO TOCANTINS,1702703,,,,
170290,AXIXA DO TOCANTINS,1702901,,,,
170300,BABACULANDIA,1703008,,,,
170305,BANDEIRANTES DO TOCANTINS,1703057,,,,
170307,BARRA DO OURO,1703073,,,,
170310,BARROLANDIA,1703107,,,,
170320,BERNARDO SAYAO,1703206,,,,
170330,BOM JESUS DO TOCANTINS,1501576,,,,
170360,BRASILANDIA DO TOCANTINS,1703602,,,,
170370,BREJINHO DE NAZARE,1703701,,,,
170380,BURITI DO TOCANTINS,1703800,,,,
170382,CACHOEIRINHA,2603108,,,,
170384,CAMPOS LINDOS,1703842,,,,
170386,CARIRI DO TOCANTINS,1703867,,,,
170388,CARMOLANDIA,1703883,,,,
170389,CARRASCO BONITO,1703891,,,,
170390,CASEARA,1703909,,,,
170410,CENTENARIO,4305116,,,,
170460,CHAPADA DE AREIA,1704600,,,,
170510,CHAPADA DA NATIVIDADE,1705102,,,,
170550,COLINAS DO TOCANTINS,1705508,,,,
170555,COMBINADO,1705557,,,,
170560,CONCEICAO DO TOCANTINS,1705607,,,,
170600,COUTO MAGALHAES,1706001,,,,
170610,CRISTALANDIA,1706100,,,,
170625,CRIXAS DO TOCANTINS,1706258,,,,
170650,DARCINOPOLIS,1706506,,,,
170700,DIANOPOLIS,1707009,,,,
170710,DIVINOPOLIS DO TOCANTINS,1707108,,,,
170720,DOIS IRMAOS DO TOCANTINS,1707207,,,,
170730,DUERE,1707306,,,,
170740,ESPERANTINA,2203701,,,,
170755,FATIMA,2910750,,,,
170765,FIGUEIROPOLIS,1707652,,,,
170770,FILADELFIA,2910859,,,,
170820,FORMOSO DO ARAGUAIA,1708205,,,,
170825,FORTALEZA DO TABOCAO,1708254,,,,
170830,GOIANORTE,1708304,,,,
170900,GOIATINS,1709005,,,,
170930,GUARAI,1709302,,,,
170950,GURUPI,1709500,,,,
170980,IPUEIRAS,2305902,,,,
171050,ITACAJA,1710508,,,,
171070,ITAGUATINS,1710706,,,,
171090,ITAPIRATINS,1710904,,,,
171110,ITAPORA DO TOCANTINS,1711100,,,,
171150,JAU DO TOCANTINS,1711506,,,,
171180,JUARINA,1711803,,,,
171190,LAGOA DA CONFUSAO,1711902,,,,
171195,LAGOA DO TOCANTINS,1711951,,,,
171200,LAJEADO,4311403,,,,
171215,LAVANDEIRA,1712157,,,,
171240,LIZARDA,1712405,,,,
171245,LUZINOPOLIS,1712454,,,,
171250,MARIANOPOLIS DO TOCANTINS,1712504,,,,
171270,MATEIROS,1712702,,,,
171280,MAURILANDIA DO TOCANTINS,1712801,,,,
171320,MIRACEMA DO TOCANTINS,1713205,,,,
171330,MIRANORTE,1713304,,,,
171360,MONTE DO CARMO,1713601,,,,
171370,MONTE SANTO DO TOCANTINS,1713700,,,,
171380,PALMEIRAS DO TOCANTINS,1713809,,,,
171395,MURICILANDIA,1713957,,,,
171420,NATIVIDADE,3303104,,,,
171430,NAZARE,2922508,,,,
171488,NOVA OLINDA,2309201,,,,
171500,NOVA ROSALANDIA,1715002,,,,
171510,NOVO ACORDO,1715101,,,,
171515,NOVO ALEGRE,1715150,,,,
171525,NOVO JARDIM,1715259,,,,
171550,OLIVEIRA DE FATIMA,1715507,,,,
171570,PALMEIRANTE,1715705,,,,
171575,PALMEIROPOLIS,1715754,,,,
171610,PARAISO DO TOCANTINS,1716109,,,,
171620,PARANA,2408607,,,,
171630,PAU D'ARCO,1505551,,,,
171650,PEDRO AFONSO,1716505,,,,
171660,PEIXE,1716604,,,,
171665,PEQUIZEIRO,1716653,,,,
171670,COLMEIA,1716703,,,,
171700,PINDORAMA DO TOCANTINS,1717008,,,,
171720,PIRAQUE,1717206,,,,
171750,PIUM,1717503,,,,
171780,PONTE ALTA DO BOM JESUS,1717800,,,,
171790,PONTE ALTA DO TOCANTINS,1717909,,,,
171800,PORTO ALEGRE DO TOCANTINS,1718006,,,,
171820,PORTO NACIONAL,1718204,,,,
171830,PRAIA NORTE,1718303,,,,
171840,PRESIDENTE KENNEDY,3204302,,,,
171845,PUGMIL,1718451,,,,
171850,RECURSOLANDIA,1718501,,,,
171855,RIACHINHO,3154457,,,,
171865,RIO DA CONCEICAO,1718659,,,,
171870,RIO DOS BOIS,1718709,,,,
171875,RIO SONO,1718758,,,,
171880,SAMPAIO,1718808,,,,
171884,SANDOLANDIA,1718840,,,,
171886,SANTA FE DO ARAGUAIA,1718865,,,,
171888,SANTA MARIA DO TOCANTINS,1718881,,,,
171889,SANTA RITA DO TOCANTINS,1718899,,,,
171890,SANTA ROSA DO TOCANTINS,1718907,,,,
171900,SANTA TEREZA DO TOCANTINS,1719004,,,,
172000,SANTA TEREZINHA DO TOCANTINS,1720002,,,,
172010,SAO BENTO DO TOCANTINS,1720101,,,,
172015,SAO FELIX DO TOCANTINS,1720150,,,,
172020,SAO MIGUEL DO TOCANTINS,1720200,,,,
172025,SAO SALVADOR DO TOCANTINS,1720259,,,,
172030,SAO SEBASTIAO DO TOCANTINS,1720309,,,,
172049,SAO VALERIO,1720499,,,,
172065,SILVANOPOLIS,1720655,,,,
172080,SITIO NOVO DO TOCANTINS,1720804,,,,
172085,SUCUPIRA,1720853,,,,
172090,TAGUATINGA,1720903,,,,
172093,TAIPAS DO TOCANTINS,1720937,,,,
172097,TALISMA,1720978,,,,
172100,PALMAS,4117602,,,,
172110,TOCANTINIA,1721109,,,,
172120,TOCANTINOPOLIS,1721208,,,,
172125,TUPIRAMA,1721257,,,,
172130,TUPIRATINS,1721307,,,,
172208,WANDERLANDIA,1722081,,,,
172210,XAMBIOA,1722107,,,,
210005,ACAILANDIA,2100055,,,,
210010,AFONSO CUNHA,2100105,,,,
210015,AGUA DOCE DO MARANHAO,2100154,,,,
210020,ALCANTARA,2100204,,,,
210030,ALDEIAS ALTAS,2100303,,,,
210040,ALTAMIRA DO MARANHAO,2100402,,,,
210043,ALTO ALEGRE DO MARANHAO,2100436,,,,
210047,ALTO ALEGRE DO PINDARE,2100477,,,,
210050,ALTO PARNAIBA,2100501,,,,
210055,AMAPA DO MARANHAO,2100550,,,,
210060,AMARANTE DO MARANHAO,2100600,,,,
210070,ANAJATUBA,2100709,,,,
210080,ANAPURUS,2100808,,,,
210083,APICUM-ACU,2100832,,,,
210087,ARAGUANA,2100873,,,,
210090,ARAIOSES,2100907,,,,
210095,ARAME,2100956,,,,
210100,ARARI,2101004,,,,
210110,AXIXA,2101103,,,,
210120,BACABAL,2101202,,,,
210125,BACABEIRA,2101251,,,,
210130,BACURI,2101301,,,,
210135,BACURITUBA,2101350,,,,
210140,BALSAS,2101400,,,,
210150,BARAO DE GRAJAU,2101509,,,,
210160,BARRA DO CORDA,2101608,,,,
210170,BARREIRINHAS,2101707,,,,
210173,BELAGUA,2101731,,,,
210177,BELA VISTA DO MARANHAO,2101772,,,,
210180,BENEDITO LEITE,2101806,,,,
210190,BEQUIMAO,2101905,,,,
210193,BERNARDO DO MEARIM,2101939,,,,
210197,BOA VISTA DO GURUPI,2101970,,,,
210200,BOM JARDIM,2102002,,,,
210203,BOM JESUS DAS SELVAS,2102036,,,,
210207,BOM LUGAR,2102077,,,,
210210,BREJO,2102101,,,,
210215,BREJO DE AREIA,2102150,,,,
210220,BURITI,2102200,,,,
210230,BURITI BRAVO,2102309,,,,
